PARTPOP2,PRTOVR185,PRTUND185,PERCENTUND185,GIS_ID,GLOBALID,OBJECTID
121,102,19,0.1570248,LowFoodAccessPly_162,{0FC88CAB-5248-440B-936F-91818293A0C3},167
785,476,308,0.39235669,LowFoodAccessPly_163,{EBF4D1FC-A909-4592-80FC-6CCC743F660E},168
474,387,87,0.18354431,LowFoodAccessPly_164,{94BF9129-EED7-40E2-A40C-F532D45F6E3B},169
1104,649,455,0.41213769,LowFoodAccessPly_165,{5416FF48-30B8-45DF-B9D4-659C65CF28CE},170
1224,910,314,0.25653595,LowFoodAccessPly_166,{D2FCB552-DC94-438F-90BE-2B8F392C82B9},171
16,16,1,0.0625,LowFoodAccessPly_167,{2E39D674-868F-4C8A-9746-DF09919F3473},172
531,456,74,0.1393597,LowFoodAccessPly_168,{465D0296-4A21-4416-8D26-10AF95974E16},173
983,671,312,0.31739572,LowFoodAccessPly_169,{F5F62FB8-D284-4F58-AEDB-B1054BC54B0A},174
935,901,33,0.03529412,LowFoodAccessPly_170,{E8050F26-0D42-4A30-81A5-00FC5B192FEC},175
2199,1004,1195,0.54342884,LowFoodAccessPly_171,{47BB5343-107B-4F02-92CA-4FB28DB3448B},176
1234,1064,170,0.13776337,LowFoodAccessPly_172,{E39D7E66-5BC7-4F0B-ADCC-6E60DE3FA8EA},177
15,13,2,0.13333334,LowFoodAccessPly_173,{B4F68362-70CA-4996-8B40-0AC8EA53D38C},178
1294,786,508,0.39258114,LowFoodAccessPly_174,{0088A019-63E5-4DAB-A245-C04628F9F03B},179
716,655,61,0.08519553,LowFoodAccessPly_175,{D470C80C-BCDD-435C-A2AA-01D8C83B161D},180
211,171,40,0.18957347,LowFoodAccessPly_176,{A7F2CDCE-C143-4C28-8230-3E30C912AE46},181
1219,971,248,0.20344545,LowFoodAccessPly_177,{411DB02E-7D9E-4711-AF32-F04B9A674A84},182
885,858,27,0.03050848,LowFoodAccessPly_178,{E4CDB9E6-C4B9-4AF5-8380-5A0CD11D1459},183
1532,1345,187,0.12206266,LowFoodAccessPly_179,{D19CF32C-3494-4EA1-9EF1-03D915939034},184
28,23,5,0.17857143,LowFoodAccessPly_180,{E5F284BE-BB88-4480-B187-1078C9072281},185
95,77,18,0.18947369,LowFoodAccessPly_181,{FC6E40DF-0B6A-42DB-A836-C9C58A6C8FDB},186
391,285,107,0.27365729,LowFoodAccessPly_182,{0D0A8104-6B39-49CA-9374-8307E3676B85},187
978,813,165,0.16871166,LowFoodAccessPly_183,{FFE062FD-2B9E-46EC-9F13-90C46BE51A87},188
45,38,7,0.15555556,LowFoodAccessPly_184,{7007D42C-AEAE-4B44-AFE5-4A2967D3BCDB},189
49,36,13,0.26530612,LowFoodAccessPly_185,{476C8DFC-69EE-4320-A7EE-9D3AF45AEB4E},190
90,85,5,0.05555556,LowFoodAccessPly_186,{13A2AAA3-0B81-47CA-B3C2-6F5D9162EE76},191
1013,505,507,0.50049359,LowFoodAccessPly_187,{9045C7D8-0984-4425-96C0-B2EEC8044BD4},192
1001,878,123,0.12287712,LowFoodAccessPly_188,{90056DC4-9D14-4045-A71B-1C8D8AA16F32},193
234,212,22,0.0940171,LowFoodAccessPly_134,{40E18BD2-0F91-488D-8154-B260C06F91EC},194
23,19,4,0.17391305,LowFoodAccessPly_135,{01609CC2-65A6-4001-A091-6AD62B267ED3},195
70,31,39,0.55714285,LowFoodAccessPly_136,{AAA434DC-9B1C-4093-9DE9-BECF96140357},196
1058,845,213,0.20132326,LowFoodAccessPly_137,{8BBC2278-C4A5-4A9F-AEEA-5400CA40E522},197
829,258,571,0.68878168,LowFoodAccessPly_138,{36C38BA3-662E-4092-8D05-14251585A69C},198
74,17,58,0.78378379,LowFoodAccessPly_139,{02C63130-C68F-4EE3-92A1-8A82C4644EBD},199
141,110,31,0.21985815,LowFoodAccessPly_140,{B5BB3D0D-2FE1-45B7-BAB4-250FA382C8C9},200
308,212,95,0.30844155,LowFoodAccessPly_141,{D20D17AC-B168-4B05-9506-25653FC21443},201
2,0,1,0.5,LowFoodAccessPly_266,{D0FAA89A-FF7B-401C-9F41-80B1CC561CA2},202
56,52,4,0.07142857,LowFoodAccessPly_267,{E400881A-791A-4357-AD2E-53003AD53E23},203
1029,955,75,0.0728863,LowFoodAccessPly_268,{A568571C-A488-4395-8EF4-61DA80BB7379},204
810,775,35,0.04320988,LowFoodAccessPly_269,{2CA8E45B-588E-4839-AC36-FE43D03706B6},205
1127,659,468,0.41526175,LowFoodAccessPly_270,{8495D1E8-8F16-41EE-8BFE-C7E5E7F16969},206
947,366,581,0.61351639,LowFoodAccessPly_271,{024B81BF-656E-4DBF-8874-CB54B217157D},207
798,524,274,0.3433584,LowFoodAccessPly_272,{33D3A4A6-FBC7-4F63-A923-9675F3B13AD3},208
369,274,96,0.26016259,LowFoodAccessPly_273,{A5619B15-D7A4-4620-B1B1-10DA913067F3},209
117,97,20,0.17094018,LowFoodAccessPly_274,{4255C2F4-722A-4FDF-984E-1F74B575E42A},210
868,635,233,0.26843318,LowFoodAccessPly_275,{DCE4428C-54D3-4FE8-81A5-E7E752E4D7B3},211
179,89,90,0.50279331,LowFoodAccessPly_276,{A3B4CAD3-19C0-4A43-863D-FF4C2B55BF80},212
1875,320,1555,0.82933331,LowFoodAccessPly_277,{2590DAE3-7BFF-4A6A-9725-2CB96A4C6035},213
318,254,64,0.20125785,LowFoodAccessPly_278,{05861214-6F81-4CB6-8C38-765676A728D8},214
1192,759,433,0.36325502,LowFoodAccessPly_279,{5D108924-6F79-4D86-A01C-F8CFEF5E20E2},215
61,54,7,0.1147541,LowFoodAccessPly_280,{C5F65950-4B72-43E9-B1C8-06FE466D66EC},216
152,129,23,0.15131579,LowFoodAccessPly_202,{490A780B-5354-476D-B4E3-9A2D252883C6},217
30,22,8,0.26666668,LowFoodAccessPly_203,{07B33D3E-9EB4-4E77-8515-6C6B77EB6E56},218
1385,972,412,0.29747292,LowFoodAccessPly_204,{86AE8A48-8877-47D5-BACE-B8301993E5C0},219
56,40,16,0.2857143,LowFoodAccessPly_205,{6629BE04-657B-42E8-B292-DEAB6BF228A8},220
724,442,281,0.38812155,LowFoodAccessPly_206,{1FAB0F50-FB4A-430E-9D6D-63970F49CD4B},221
368,229,139,0.37771741,LowFoodAccessPly_221,{C20D7E20-E0B8-4B99-9EA5-9FA7E08B19FA},222
111,40,71,0.63963962,LowFoodAccessPly_222,{5123E74F-A277-4D08-B58A-B2A38FDC0D73},223
1477,481,996,0.67433989,LowFoodAccessPly_223,{2A3D9C63-A7E1-416D-84ED-041C19C45510},224
315,260,55,0.17460318,LowFoodAccessPly_224,{D66FC6B8-BE10-4778-AF3E-0AE94A091D0D},225
882,568,314,0.35600907,LowFoodAccessPly_225,{239527D7-CFD9-407F-B008-A9CA977DEE58},226
1820,944,876,0.48131868,LowFoodAccessPly_226,{D8B827CB-1087-4BF8-A783-D7056FFFCC2E},227
1138,988,150,0.13181019,LowFoodAccessPly_227,{BEC7F255-F2C7-489E-9FED-859856CA9187},228
114,79,35,0.30701753,LowFoodAccessPly_228,{2A88DD9E-F195-47D4-BB12-FD6F84E5E4B6},229
778,654,124,0.15938303,LowFoodAccessPly_229,{5B1D509F-5CE3-4BF4-B03C-F68E2EDD6C32},230
571,280,291,0.50963223,LowFoodAccessPly_230,{6D2CD6CE-D702-4D16-9731-94A6AA04DB3B},231
136,64,71,0.52205884,LowFoodAccessPly_231,{C4841F92-A49F-4653-8B5F-4FB0C6A9B304},232
974,571,403,0.41375771,LowFoodAccessPly_232,{061EF84D-6395-4DCC-8B30-A43C0FACB357},233
